Asteroids	platforms	Arcade, [[#Ports
Shao-lin's Road	platforms	ZX Spectrum
Jackass: The Game	platforms	PlayStation 2
Jackass: The Game	platforms	Nintendo DS
Jackass: The Game	platforms	PlayStation Portable
The Labyrinth Plus! Edition	platforms	Microsoft Windows
Ford Racing	platforms	PlayStation
Ford Racing	platforms	Personal computer
Ford Racing	platforms	Macintosh
Ford Racing	platforms	PlayStation Network
Ford Racing	platforms	Arcade game
Ford Racing	platforms	PlayStation 2
Ford Racing	platforms	Xbox
Ford Racing	platforms	Microsoft Windows
Ford Racing	platforms	Game Boy Advance
Ford Racing	platforms	Nintendo DS
Ford Racing	platforms	PlayStation Portable
Ford Racing	platforms	Wii
Dunford Bridge railway station	platforms	2
Hazlehead Bridge railway station	platforms	2
Wardner	platforms	Arcade game
Wardner	platforms	Sega Genesis
Wardner	platforms	Family Computer Disk System
NHL 2K7	platforms	PlayStation 2
NHL 2K7	platforms	PlayStation 3
NHL 2K7	platforms	Xbox
NHL 2K7	platforms	Xbox 360
Bonnie's Bookstore	platforms	Microsoft Windows
Bonnie's Bookstore	platforms	Macintosh
Bonnie's Bookstore	platforms	Game Boy Advance
Mutant Storm Empire	platforms	Xbox 360
ATV Offroad Fury Pro	platforms	PlayStation Portable
Hyperbowl Plus! Edition	platforms	Windows XP
Hyperbowl Plus! Edition	platforms	Windows Vista
Green Green	platforms	IBM PC compatible
Green Green	platforms	PlayStation 2
Swinton Town railway station	platforms	4
Highway Encounter	platforms	ZX Spectrum
Highway Encounter	platforms	Commodore 64
Highway Encounter	platforms	Amstrad CPC
Highway Encounter	platforms	MSX
Crouching Tiger, Hidden Dragon	platforms	PlayStation 2
Crouching Tiger, Hidden Dragon	platforms	Xbox
Crouching Tiger, Hidden Dragon	platforms	Game Boy Advance
Buggy Boy	platforms	Arcade game
Buggy Boy	platforms	Commodore 64
Buggy Boy	platforms	ZX Spectrum
Buggy Boy	platforms	Amstrad CPC
Buggy Boy	platforms	Amiga
Buggy Boy	platforms	Atari ST
Wings Over Vietnam	platforms	PC
Waleswood railway station	platforms	2
Hampole railway station	platforms	2
Dynasty Tactics 2	platforms	PlayStation 2
Dynasty Tactics 2	platforms	PlayStation Network
Shawford railway station	platforms	3
Test Drive Off-Road	platforms	Microsoft Windows
Test Drive Off-Road	platforms	PlayStation
Test Drive: Off-Road Wide Open	platforms	PlayStation 2
Test Drive: Off-Road Wide Open	platforms	Xbox
Test Drive Off-Road 2	platforms	PlayStation
Test Drive Off-Road 2	platforms	Microsoft Windows
Test Drive 6	platforms	PlayStation
Test Drive 6	platforms	Game Boy Color
Test Drive 6	platforms	Microsoft Windows
Test Drive 6	platforms	Dreamcast
Test Drive III: The Passion	platforms	DOS
Test Drive 4	platforms	PlayStation
Test Drive 4	platforms	PC CD-ROM
Test Drive 5	platforms	PlayStation
Test Drive 5	platforms	Microsoft Windows
Sorcerian	platforms	NEC PC-8801
Sorcerian	platforms	NEC PC-9801
Sorcerian	platforms	NEC PC-88VA
Sorcerian	platforms	X1
Sorcerian	platforms	MSX2
Sorcerian	platforms	MS-DOS
Sorcerian	platforms	Mega Drive
Sorcerian	platforms	TurboGrafx-CD
Sorcerian	platforms	Virtual Console
Sorcerian	platforms	IOS
Sorcerian	platforms	Microsoft Windows
Big Biz Tycoon 2	platforms	Microsoft Windows
Terminator 3: Rise of the Machines	platforms	PlayStation 2
Terminator 3: Rise of the Machines	platforms	Xbox
Terminator 3: Rise of the Machines	platforms	Game Boy Advance
Terminator 3: Rise of the Machines	platforms	Mobile phones
Back to Skool	platforms	ZX Spectrum
Kamen Rider: Dragon Knight	platforms	Nintendo DS
Kamen Rider: Dragon Knight	platforms	Wii
Shining Force EXA	platforms	PlayStation 2
Warhammer 40,000: Dawn of War – Dark Crusade	platforms	IBM PC compatible
Nonterraqueous	platforms	Amstrad CPC
Nonterraqueous	platforms	Commodore 64
Nonterraqueous	platforms	ZX Spectrum
Xexex	platforms	Arcade game
Soul of a Robot	platforms	Amstrad CPC
Soul of a Robot	platforms	MSX
Soul of a Robot	platforms	ZX Spectrum
Hard Edge	platforms	PlayStation
Hard Edge	platforms	PlayStation Network
Prince of Qin	platforms	Microsoft Windows
Snoopy vs. the Red Baron	platforms	PlayStation Portable
Snoopy vs. the Red Baron	platforms	PlayStation 2
Snoopy vs. the Red Baron	platforms	Microsoft Windows
Sid Meier's Pirates!	platforms	Microsoft Windows
Sid Meier's Pirates!	platforms	Xbox
Sid Meier's Pirates!	platforms	Xbox 360
Sid Meier's Pirates!	platforms	PlayStation Portable
Sid Meier's Pirates!	platforms	Mac OS X
Sid Meier's Pirates!	platforms	Wii
Sid Meier's Pirates!	platforms	IPad
Sid Meier's Pirates!	platforms	IPhone
Sid Meier's Pirates!	platforms	IPod touch
Sid Meier's Pirates!	platforms	Windows Phone
Call of Duty: Roads to Victory	platforms	PlayStation Portable
Call of Duty: Roads to Victory	platforms	PlayStation Vita
World Tour Golf	platforms	Commodore 64
World Tour Golf	platforms	Amiga
World Tour Golf	platforms	Apple IIGS
World Tour Golf	platforms	DOS
The Halley Project	platforms	Apple II family
The Halley Project	platforms	Atari 8-bit family
The Halley Project	platforms	Commodore 64
The Halley Project	platforms	Commodore Amiga
Stairfoot railway station	platforms	2
Dynasty	platforms	Apple II
Cavern Creatures	platforms	Apple II family
Chesterfield Market Place railway station	platforms	4
Inuyasha: Secret of the Divine Jewel	platforms	Nintendo DS
Johnstone North railway station	platforms	2
Earthly Delights	platforms	Apple II family
Earthly Delights	platforms	PC Booter
Monkton railway station	platforms	2
Gailes railway station	platforms	2
Ardrossan Winton Pier railway station	platforms	1
Sneakers	platforms	Apple II family
Psyvariar	platforms	Arcade game
Psyvariar	platforms	PlayStation 2
Psyvariar	platforms	Arcade, PlayStation 2, Yahoo Mobile , i-mode , EZweb
Psyvariar	platforms	PlayStation Network
Count Duckula 2	platforms	ZX Spectrum
Count Duckula 2	platforms	Amstrad CPC
Bentley Crossing Halt	platforms	2
Air Inferno	platforms	Arcade game
Perfect World	platforms	Microsoft Windows
Dogfight	platforms	MS-DOS
Dogfight	platforms	Atari ST
Dogfight	platforms	Amiga
Arena of Octos	platforms	Apple II family
Arena of Octos	platforms	TRS-80
Last Hope	platforms	Neo Geo
Last Hope	platforms	Neo Geo CD
Last Hope	platforms	Dreamcast
Ennichi no Tatsujin	platforms	Wii
MUD1	platforms	Cross-platform
Fizzball	platforms	Microsoft Windows
Fizzball	platforms	Apple Macintosh
Fizzball	platforms	Linux
Fizzball	platforms	Wii
Mr. Robot and His Robot Factory	platforms	Atari 8-bit family
Mr. Robot and His Robot Factory	platforms	Apple II family
Mr. Robot and His Robot Factory	platforms	Commodore 64
Harry Potter and the Order of the Phoenix	platforms	Microsoft Windows
Harry Potter and the Order of the Phoenix	platforms	PlayStation 2
Harry Potter and the Order of the Phoenix	platforms	PlayStation 3
Harry Potter and the Order of the Phoenix	platforms	Xbox 360
Harry Potter and the Order of the Phoenix	platforms	PlayStation Portable
Harry Potter and the Order of the Phoenix	platforms	Nintendo DS
Harry Potter and the Order of the Phoenix	platforms	Wii
Harry Potter and the Order of the Phoenix	platforms	Game Boy Advance
Harry Potter and the Order of the Phoenix	platforms	Mac OS X
Kabu Trader Shun	platforms	Nintendo DS
Initial D Arcade Stage 4	platforms	Arcade game
TFX	platforms	DOS
TFX	platforms	Amiga
Pimp My Ride	platforms	Xbox 360
Pimp My Ride	platforms	PlayStation 2
Pimp My Ride	platforms	PlayStation Portable
Pimp My Ride	platforms	Wii
UFO: Afterlight	platforms	Microsoft Windows
Vixen	platforms	Amiga
Vixen	platforms	Amstrad CPC
Vixen	platforms	Atari ST
Vixen	platforms	Commodore 64
Vixen	platforms	DOS
Vixen	platforms	ZX Spectrum
Academy	platforms	ZX Spectrum
Academy	platforms	Amstrad CPC
Academy	platforms	Amstrad PCW
Academy	platforms	Amiga
Academy	platforms	Atari ST
Academy	platforms	Commodore 64
Academy	platforms	MS-DOS
Screamer Rally	platforms	Microsoft Windows
Screamer Rally	platforms	DOS
Alpha Waves	platforms	Amiga
Alpha Waves	platforms	Atari ST
Alpha Waves	platforms	MS-DOS
Ribbleton railway station	platforms	1
Freshford railway station	platforms	2
Star Wars: The Best of PC	platforms	Microsoft Windows
Avoncliff railway station	platforms	2
Ultrabots	platforms	Personal Computer
Alloa railway station	platforms	1
Varth: Operation Thunderstorm	platforms	Arcade Game
Varth: Operation Thunderstorm	platforms	PlayStation Portable
Varth: Operation Thunderstorm	platforms	PlayStation 2
Varth: Operation Thunderstorm	platforms	Xbox
Lord of the Rings: Game One	platforms	ZX Spectrum
Lord of the Rings: Game One	platforms	Commodore 64
Lord of the Rings: Game One	platforms	Amstrad CPC
Lord of the Rings: Game One	platforms	Amstrad PCW
Lord of the Rings: Game One	platforms	BBC Micro
Lord of the Rings: Game One	platforms	64
Lord of the Rings: Game One	platforms	Apple II
Lord of the Rings: Game One	platforms	Apple Macintosh
Lord of the Rings: Game One	platforms	MS-DOS
Machines	platforms	Microsoft Windows
Houston railway station	platforms	2
Bridge of Weir railway station	platforms	2
Cumnock	platforms	2
Hurlford railway station	platforms	2
Mauchline railway station	platforms	4
Troon	platforms	2
Tom Clancy's Ghost Recon: Island Thunder	platforms	Microsoft Windows
Tom Clancy's Ghost Recon: Island Thunder	platforms	Xbox
Ayr	platforms	2
Arc the Lad	platforms	PlayStation
Arc the Lad	platforms	PlayStation Network
Konjiki no Gash Bell!! Go! Go! Mamono Fight!!	platforms	PlayStation 2
Konjiki no Gash Bell!! Go! Go! Mamono Fight!!	platforms	Gamecube
Kensei: Sacred Fist	platforms	PlayStation
Big Nose the Caveman	platforms	Nintendo Entertainment System
Big Nose the Caveman	platforms	Amiga
Big Nose the Caveman	platforms	Atari ST
Big Nose the Caveman	platforms	Sega Master System
Thousand Parsec	platforms	Cross-platform
Big Nose Freaks Out	platforms	Nintendo Entertainment System
Tanarus	platforms	Microsoft Windows
Tanarus	platforms	Personal computer
The C.H.A.O.S. Continuum	platforms	Microsoft Windows
The C.H.A.O.S. Continuum	platforms	Apple Macintosh
Dead or Alive 5	platforms	PlayStation 3
Dead or Alive 5	platforms	Xbox 360
Left 4 Dead	platforms	Microsoft Windows
Left 4 Dead	platforms	Xbox 360
Left 4 Dead	platforms	OS X
Escape from the Planet of the Robot Monsters	platforms	Arcade game
Escape from the Planet of the Robot Monsters	platforms	Amiga
Escape from the Planet of the Robot Monsters	platforms	Amstrad CPC
Escape from the Planet of the Robot Monsters	platforms	Atari ST
Escape from the Planet of the Robot Monsters	platforms	Commodore 64
Escape from the Planet of the Robot Monsters	platforms	MS-DOS
Escape from the Planet of the Robot Monsters	platforms	SAM Coupé
Escape from the Planet of the Robot Monsters	platforms	ZX Spectrum
Nuts & Milk	platforms	MSX
Nuts & Milk	platforms	Family Computer
Nuts & Milk	platforms	DoJa
Nuts & Milk	platforms	FM-7
Nuts & Milk	platforms	Game Boy Advance
Nuts & Milk	platforms	Mobile phone
Nuts & Milk	platforms	NEC PC-6001
Nuts & Milk	platforms	NEC PC-8801
Nuts & Milk	platforms	X1
Nuts & Milk	platforms	Virtual Console
Tanglewood	platforms	Dragon 32
Tanglewood	platforms	TRS-80 Color Computer
Tanglewood	platforms	Atari ST
Tanglewood	platforms	Amiga
Tarbolton railway station	platforms	2
Annbank railway station	platforms	4
Auchincruive railway station	platforms	2
Lugar railway station	platforms	2
Commondyke railway station	platforms	2
Cronberry railway station	platforms	2
Cumnock	platforms	2
Dumfries House railway station	platforms	2
Skares railway station	platforms	2
Ochiltree railway station	platforms	2
Drongan railway station	platforms	2
Sidmouth railway station	platforms	2
Trabboch railway station	platforms	1
NBA Jam Extreme	platforms	Arcade game
NBA Jam Extreme	platforms	PlayStation
NBA Jam Extreme	platforms	Saturn
NBA Jam Extreme	platforms	Microsoft Windows
The Addams Family	platforms	Game Boy
NBA Jam	platforms	PlayStation 2
NBA Jam	platforms	Xbox
Echo Delta	platforms	Nintendo 64
SimCity DS	platforms	Nintendo DS
EF2000	platforms	DOS for PC
Bomberman '93	platforms	TurboGrafx-16
Bomberman '93	platforms	Wii Virtual Console
Monster Hunter Freedom 2	platforms	PlayStation Portable
Persona 2: Innocent Sin	platforms	*
Persona 2: Innocent Sin	platforms	PlayStation
Persona 2: Innocent Sin	platforms	PlayStation Portable
Birthright: The Gorgon's Alliance	platforms	DOS and Windows 95
Treasures of the Deep	platforms	PlayStation
Tricky Kick	platforms	TurboGrafx-16
Kar Racing	platforms	PC
Espgaluda II	platforms	Arcade game
Espgaluda II	platforms	I-mode
Espgaluda II	platforms	Xbox 360
Espgaluda II	platforms	IOS
Espgaluda II	platforms	Android
Nettō! Gekitō! Quiz-tō!!	platforms	Arcade game
Summer Lane railway station	platforms	2
Quantum Gate	platforms	Windows 3.1x
Quantum Gate	platforms	Apple Macintosh
Newburgh railway station	platforms	2
Cratermaze	platforms	TurboGrafx-16, Virtual Console
Bomberman World	platforms	PlayStation
Sherlock Holmes: The Case of the Silver Earring	platforms	Microsoft Windows
Sherlock Holmes: The Case of the Silver Earring	platforms	Wii
Gristhorpe railway station	platforms	2
The Grinch	platforms	Dreamcast
The Grinch	platforms	Game Boy Color
The Grinch	platforms	Microsoft Windows
The Grinch	platforms	PlayStation
Speeton railway station	platforms	2
Cayton railway station	platforms	2
Lockington railway station	platforms	2
Lowthorpe railway station	platforms	2
Burton Agnes railway station	platforms	2
Carnaby railway station	platforms	2
Flamborough railway station	platforms	2
Jawbreaker	platforms	Computers:
Jawbreaker	platforms	Atari 800, Apple II, Commodore 64, PC
Jawbreaker	platforms	Consoles:
Jawbreaker	platforms	Atari 2600
Road Rash II	platforms	Sega Genesis
MySims	platforms	Wii
MySims	platforms	Nintendo DS
MySims	platforms	Microsoft Windows
MySims	platforms	Mobile phone
Panzer Tactics DS	platforms	Nintendo DS
Panzer Tactics DS	platforms	Windows
WCW: The Main Event	platforms	Game Boy
Tom Clancy's Ghost Recon: Desert Siege	platforms	Microsoft Windows
Tom Clancy's Ghost Recon: Desert Siege	platforms	PlayStation 2
Strensall Halt railway station	platforms	2
Strensall railway station	platforms	2
Haxby railway station	platforms	2
Flaxton railway station	platforms	2
Kirkham Abbey railway station	platforms	2
Barton Hill railway station	platforms	2
Castle Howard railway station	platforms	2
Huttons Ambo railway station	platforms	2
Rillington railway station	platforms	2
Knapton railway station	platforms	2
Heslerton railway station	platforms	2
Weaverthorpe railway station	platforms	2
Ganton railway station	platforms	2
40 Winks	platforms	PlayStation
Tommy Lasorda Baseball	platforms	Arcade game
Tommy Lasorda Baseball	platforms	Sega Genesis
Nostradamus ni Kiite Miro	platforms	Windows PC
Jaseiken Necromancer	platforms	PC Engine
Jaseiken Necromancer	platforms	Mobile phone
Jaseiken Necromancer	platforms	Virtual Console
Jaseiken Necromancer	platforms	PlayStation Network
Bowes railway station	platforms	2
Crossroads	platforms	Commodore 64
Intellectual Decathlon	platforms	Apple II family, PC Apple emulators
Crossroads II	platforms	Commodore 64
Geneforge 4: Rebellion	platforms	Mac OS X
Geneforge 4: Rebellion	platforms	Microsoft Windows
Rayman Junior	platforms	PlayStation
Rayman Junior	platforms	Microsoft Windows
Champions of Regnum	platforms	Microsoft Windows
Champions of Regnum	platforms	OS X
Champions of Regnum	platforms	Linux
Towering Inferno	platforms	Atari 2600
Appleby East railway station	platforms	1
The Legendary Axe II	platforms	TurboGrafx 16
The Legendary Axe II	platforms	PC Engine
The Legendary Axe	platforms	TurboGrafx-16
Lost in Blue 2	platforms	Nintendo DS
Lartington railway station	platforms	2
Tebay railway station	platforms	3
Gaisgill railway station	platforms	2
Barras railway station	platforms	2
The Fast and the Furious	platforms	PlayStation 2
The Fast and the Furious	platforms	PlayStation Portable
Zillion II	platforms	Sega Master System
Cliburn railway station	platforms	1
Clifton Moor railway station	platforms	2
Gabriel Knight: Sins of the Fathers	platforms	MS-DOS
Gabriel Knight: Sins of the Fathers	platforms	Macintosh
Gabriel Knight: Sins of the Fathers	platforms	Microsoft Windows
Ghost House	platforms	Master System
Ruff 'n' Tumble	platforms	Amiga
Super Star Soldier	platforms	PC Engine/TurboGrafx-16, Mobile Phones, Wii and Wii U , PlayStation Network, Windows Store
Home Improvement: Power Tool Pursuit!	platforms	Super NES
Iron Warriors: T-72 Tank Commander	platforms	Personal computer
Guilty Gear	platforms	PlayStation
Guilty Gear	platforms	PlayStation Network
Braithwaite railway station	platforms	2
Keswick railway station	platforms	2
Cockermouth railway station	platforms	2
Woodhouse Mill railway station	platforms	2
Treeton railway station	platforms	2
Cockermouth	platforms	1
Broughton Cross railway station	platforms	2
Brigham railway station	platforms	3
Workington Bridge railway station	platforms	2
Stryker's Run	platforms	BBC Micro
Stryker's Run	platforms	Acorn Electron
Camerton	platforms	2
Ad Verbum	platforms	Macintosh
Ad Verbum	platforms	Microsoft Windows
Ad Verbum	platforms	Z-machine
The Ruins of Cawdor	platforms	MS-DOS
The Ruins of Cawdor	platforms	Windows 3.1x
The Ruins of Cawdor	platforms	Windows 95
Kong: The 8th Wonder of the World	platforms	Game Boy Advance
